userid,age,occupation,gender
137226,34,executive/managerial,M
352601,30,sales/marketing,M
381129,28,college/grad student,M
232639,25,self-employed,M
302721,26,college/grad student,M
358200,27,other or not specified,M
369456,29,college/grad student,M
225487,25,executive/managerial,M
438296,32,college/grad student,M
43004,27,executive/managerial,M
325764,18,self-employed,M
257434,32,sales/marketing,M
341002,34,college/grad student,M
209610,32,executive/managerial,M
5981,28,college/grad student,M
79201,34,sales/marketing,M
228986,32,college/grad student,M
1410,28,clerical/admin,M
207309,57,retired,F
131753,11,K-12 student,F
8820,30,college/grad student,F
464,38,executive/managerial,M
264645,34,executive/managerial,M
73646,28,self-employed,M
438494,34,unemployed,M
226663,25,executive/managerial,M
446435,32,college/grad student,F
352234,34,executive/managerial,M
384790,33,college/grad student,M
72994,70,retired,M
321920,25,college/grad student,M
187961,25,college/grad student,M
183898,33,sales/marketing,M
433805,33,academic/educator,M
165742,28,sales/marketing,F
225861,43,academic/educator,M
147351,25,sales/marketing,M
304506,34,executive/managerial,M
113151,66,academic/educator,F
233332,26,programmer,M
116932,36,scientist,M
189196,26,customer service,F
265173,32,clerical/admin,M
216214,26,college/grad student,F
39635,21,K-12 student,M
156317,26,college/grad student,M
305196,43,executive/managerial,M
142052,28,college/grad student,M
91179,29,executive/managerial,M
282565,27,homemaker,M
94244,28,executive/managerial,M
219351,28,executive/managerial,M
338108,29,college/grad student,M
276656,51,college/grad student,M
162965,29,self-employed,F
121024,25,sales/marketing,M
149984,25,college/grad student,M
439418,28,scientist,F
142435,32,clerical/admin,M
338609,26,college/grad student,M
317623,33,executive/managerial,M
405649,32,homemaker,F
171095,29,executive/managerial,M
43033,25,sales/marketing,M
2012,29,college/grad student,F
275022,25,K-12 student,M
426146,21,scientist,M
249508,26,college/grad student,M
75252,30,executive/managerial,M
195419,27,executive/managerial,F
147905,25,self-employed,M
6777,29,college/grad student,M
65282,26,technician/engineer,M
17094,28,executive/managerial,M
298451,33,executive/managerial,M
298983,26,self-employed,F
443627,34,executive/managerial,M
165014,29,scientist,M
10380,34,sales/marketing,M
443167,20,technician/engineer,M
432080,25,scientist,F
108655,18,sales/marketing,M
428305,27,college/grad student,F
392844,33,scientist,M
382408,31,college/grad student,F
289005,30,college/grad student,M
282706,32,scientist,M
88200,23,college/grad student,M
364961,34,technician/engineer,M
308775,25,clerical/admin,M
416905,30,executive/managerial,M
61745,33,other or not specified,F
260298,25,college/grad student,F
446641,31,sales/marketing,M
245972,37,executive/managerial,M
147493,29,college/grad student,M
188716,31,college/grad student,M
366827,21,sales/marketing,M
166302,33,executive/managerial,M
106383,29,college/grad student,M
25551,24,sales/marketing,M
91968,33,artist,M
69401,27,retired,M
88063,25,scientist,M
90007,28,technician/engineer,M
268981,18,K-12 student,M
128608,25,scientist,M
193002,29,executive/managerial,M
440140,33,scientist,M
99111,31,self-employed,M
289583,65,retired,M
206852,43,sales/marketing,M
422408,29,executive/managerial,M
362247,32,college/grad student,M
333151,32,tradesman/craftsman,M
83815,30,scientist,F
177697,33,executive/managerial,M
46597,29,executive/managerial,M
442911,34,college/grad student,M
358128,27,self-employed,M
81837,30,scientist,M
158257,28,college/grad student,M
415193,34,college/grad student,M
409480,27,self-employed,M
162656,25,college/grad student,M
188389,30,academic/educator,M
5322,30,sales/marketing,M
409853,28,executive/managerial,M
153127,32,executive/managerial,F
410358,34,executive/managerial,M
428341,22,other or not specified,M
25882,31,homemaker,M
436615,26,sales/marketing,M
53901,50,academic/educator,F
404662,32,executive/managerial,M
129938,31,executive/managerial,M
173525,34,college/grad student,M
282493,32,sales/marketing,F
376769,29,self-employed,M
257517,34,executive/managerial,M
42133,33,college/grad student,M
21798,28,self-employed,F
48513,25,executive/managerial,F
436610,33,executive/managerial,F
62885,27,self-employed,M
67212,27,college/grad student,M
211810,40,sales/marketing,M
345419,30,college/grad student,F
386903,32,executive/managerial,M
222089,26,academic/educator,M
83130,26,executive/managerial,M
382355,31,college/grad student,F
172127,12,college/grad student,M
200824,30,other or not specified,F
92933,31,homemaker,M
124253,27,executive/managerial,M
120124,25,college/grad student,F
357827,26,sales/marketing,M
151080,33,college/grad student,M
29095,21,K-12 student,M
321783,34,executive/managerial,M
394756,29,sales/marketing,M
437376,28,college/grad student,M
195138,29,college/grad student,M
203159,25,clerical/admin,M
210881,31,artist,M
66271,34,sales/marketing,F
1376,32,sales/marketing,M
151138,32,executive/managerial,M
55466,26,clerical/admin,M
395418,30,self-employed,M
256656,32,executive/managerial,M
35512,25,college/grad student,M
92567,34,sales/marketing,M
123180,29,executive/managerial,M
434508,25,self-employed,M
59325,28,executive/managerial,M
359770,28,executive/managerial,M
354513,32,executive/managerial,M
435089,8,sales/marketing,F
185368,27,executive/managerial,M
164309,26,college/grad student,M
262232,31,college/grad student,M
63362,29,homemaker,F
61964,25,executive/managerial,M
368116,31,college/grad student,F
111616,30,self-employed,M
185327,30,executive/managerial,M
328676,31,other or not specified,M
275240,34,other or not specified,M
51422,14,homemaker,M
257238,27,executive/managerial,M
65313,26,sales/marketing,M
224846,29,college/grad student,M
118909,30,college/grad student,M
379060,40,sales/marketing,M
50003,29,sales/marketing,M
64316,34,college/grad student,M
154535,30,college/grad student,F
1168,33,executive/managerial,M
257092,26,self-employed,M
57208,27,retired,M
38541,32,artist,M
332921,26,executive/managerial,M
215531,34,executive/managerial,M
326587,29,college/grad student,M
19463,31,executive/managerial,M
334829,32,sales/marketing,M
105296,25,other or not specified,F
116954,27,scientist,M
33309,27,homemaker,F
116182,33,scientist,M
395426,34,scientist,M
179813,34,self-employed,M
118756,34,college/grad student,M
427152,34,other or not specified,M
277472,30,executive/managerial,M
229662,33,programmer,M
233063,34,self-employed,M
313919,25,executive/managerial,M
18742,26,executive/managerial,M
79310,26,college/grad student,M
23330,26,college/grad student,M
418318,34,self-employed,F
234913,31,executive/managerial,M
439968,29,executive/managerial,M
141408,29,executive/managerial,M
58769,28,K-12 student,F
199044,30,scientist,M
101235,31,college/grad student,M
34652,28,college/grad student,M
105303,33,college/grad student,F
230067,29,sales/marketing,M
148227,32,college/grad student,M
63207,26,executive/managerial,M
310664,27,self-employed,M
367520,26,executive/managerial,M
386784,31,executive/managerial,M
315929,26,college/grad student,M
403533,29,self-employed,M
2538,25,college/grad student,F
283954,21,self-employed,M
222683,28,college/grad student,F
77586,43,other or not specified,F
269047,26,K-12 student,M
90229,32,college/grad student,M
272219,31,self-employed,M
96056,44,self-employed,M
2816,29,scientist,M
337297,18,other or not specified,M
314954,29,sales/marketing,M
347860,29,college/grad student,M
137770,29,executive/managerial,M
277491,30,K-12 student,M
36551,29,college/grad student,M
157670,36,executive/managerial,M
216040,27,executive/managerial,M
182471,30,sales/marketing,M
268214,26,scientist,M
22135,33,executive/managerial,M
239205,34,clerical/admin,F
419870,30,college/grad student,M
304624,30,scientist,M
13457,30,executive/managerial,M
348532,30,other or not specified,M
354409,26,college/grad student,M
351120,26,other or not specified,F
192312,30,sales/marketing,F
92286,25,college/grad student,M
317846,32,executive/managerial,M
218873,28,college/grad student,M
445421,29,other or not specified,M
120499,30,technician/engineer,M
285049,30,college/grad student,F
269268,30,college/grad student,M
140276,27,self-employed,M
382312,28,self-employed,M
331340,28,self-employed,M
192180,18,K-12 student,M
310233,27,K-12 student,F
221509,19,college/grad student,M
396823,25,college/grad student,M
55021,26,executive/managerial,M
192728,27,sales/marketing,M
166453,28,scientist,M
209164,18,sales/marketing,M
316246,21,scientist,M
298294,29,college/grad student,M
399567,26,executive/managerial,M
159659,28,executive/managerial,M
378903,32,college/grad student,M
246097,34,college/grad student,M
206993,31,executive/managerial,M
362946,34,K-12 student,M
66130,30,executive/managerial,M
91357,34,artist,F
38245,28,sales/marketing,M
127700,32,sales/marketing,M
375185,34,writer,M
178601,32,scientist,M
265627,28,other or not specified,M
355575,22,scientist,M
288065,19,sales/marketing,M
51773,34,college/grad student,M
392866,33,sales/marketing,M
284828,28,academic/educator,F
427303,27,college/grad student,F
210058,33,scientist,M
315567,27,scientist,F
245489,27,academic/educator,F
14002,32,college/grad student,M
448548,34,other or not specified,M
54990,29,executive/managerial,M
445080,32,college/grad student,M
355753,25,executive/managerial,M
409760,27,college/grad student,M
74608,34,college/grad student,M
260665,32,self-employed,M
130331,27,self-employed,M
241697,25,scientist,M
303293,34,executive/managerial,M
178979,30,college/grad student,M
127853,25,executive/managerial,M
234896,28,other or not specified,M
381419,33,sales/marketing,M
106442,32,other or not specified,M
101820,32,college/grad student,M
257386,25,sales/marketing,M
75998,25,college/grad student,M
401597,32,self-employed,F
39930,25,executive/managerial,M
227491,29,executive/managerial,M
161341,28,college/grad student,F
405357,27,programmer,M
227763,28,artist,M
31386,26,sales/marketing,M
112833,27,executive/managerial,M
390646,33,executive/managerial,M
3916,26,sales/marketing,M
230105,23,sales/marketing,M
332956,25,college/grad student,F
238935,61,other or not specified,M
379373,32,college/grad student,M
325744,38,executive/managerial,M
313506,31,other or not specified,M
320571,32,other or not specified,M
42173,29,college/grad student,M
406690,24,sales/marketing,M
396156,40,sales/marketing,M
195875,28,self-employed,F
396308,28,other or not specified,M
273845,19,scientist,M
152616,33,executive/managerial,M
230450,21,sales/marketing,M
278611,31,executive/managerial,M
397371,18,customer service,M
166287,33,college/grad student,M
27257,26,executive/managerial,M
316350,30,scientist,F
196238,29,college/grad student,M
173800,35,academic/educator,F
311741,27,college/grad student,M
136461,30,college/grad student,M
428366,32,K-12 student,M
291748,31,sales/marketing,M
96924,34,tradesman/craftsman,M
40183,29,technician/engineer,M
65619,31,executive/managerial,M
2231,33,executive/managerial,M
171662,40,scientist,M
96687,34,sales/marketing,M
231675,32,executive/managerial,F
224716,27,sales/marketing,M
287355,30,scientist,M
80580,23,other or not specified,M
175917,25,scientist,M
395062,88,retired,M
186011,27,college/grad student,M
138262,31,executive/managerial,M
277096,28,scientist,M
86651,34,sales/marketing,M
432033,20,scientist,M
91429,21,scientist,M
36919,32,homemaker,M
168928,32,executive/managerial,M
424277,29,executive/managerial,M
430915,33,executive/managerial,M
135483,25,sales/marketing,F
234677,26,executive/managerial,M
342456,28,college/grad student,F
318945,32,executive/managerial,M
20676,27,scientist,M
51896,32,college/grad student,M
51717,27,executive/managerial,M
188501,32,college/grad student,M
393290,31,college/grad student,M
98643,32,college/grad student,M
264354,28,executive/managerial,F
277143,31,self-employed,M
163970,31,sales/marketing,M
8422,27,technician/engineer,M
169057,30,college/grad student,M
110811,31,executive/managerial,M
172062,27,executive/managerial,M
80065,32,homemaker,F
90820,30,academic/educator,M
30408,25,academic/educator,F
443635,28,college/grad student,M
36135,33,technician/engineer,M
105052,25,college/grad student,M
137209,25,self-employed,M
365772,29,self-employed,M
129140,27,executive/managerial,M
160652,27,college/grad student,M
229992,27,scientist,M
164506,32,retired,M
84954,18,college/grad student,M
23436,32,K-12 student,M
53166,18,K-12 student,M
106968,34,other or not specified,M
110334,34,college/grad student,M
299939,33,executive/managerial,M
382398,27,artist,F
316817,32,sales/marketing,M
331505,34,college/grad student,M
131486,24,scientist,M
82674,28,executive/managerial,M
14223,25,unemployed,M
280463,34,executive/managerial,M
136169,27,tradesman/craftsman,M
52672,30,executive/managerial,M
403370,30,sales/marketing,M
431964,29,college/grad student,M
16309,30,scientist,M
293298,16,K-12 student,M
439124,29,unemployed,M
419065,18,sales/marketing,M
221690,29,college/grad student,M
317101,27,executive/managerial,M
135260,26,college/grad student,M
190846,34,sales/marketing,M
406084,33,scientist,F
86971,26,scientist,M
254180,34,college/grad student,M
130070,31,college/grad student,M
348474,34,sales/marketing,F
81728,28,scientist,M
213690,27,college/grad student,M
429333,34,college/grad student,M
223596,33,other or not specified,F
409243,26,college/grad student,M
150771,27,sales/marketing,M
355522,27,executive/managerial,M
125053,28,scientist,F
345813,18,scientist,M
313649,27,homemaker,F
27243,29,customer service,M
86308,28,college/grad student,M
178752,26,academic/educator,F
323682,27,college/grad student,M
294390,28,sales/marketing,M
294883,35,programmer,M
251575,26,scientist,M
96829,25,programmer,M
188436,25,executive/managerial,M
326583,19,scientist,M
281807,25,technician/engineer,M
113616,19,sales/marketing,M
107965,21,other or not specified,M
222685,21,K-12 student,M
337680,33,college/grad student,M
208168,27,academic/educator,F
324085,62,retired,F
244128,34,college/grad student,F
44888,32,college/grad student,M
172287,28,scientist,M
127783,33,scientist,M
50258,29,college/grad student,M
341592,31,scientist,F
5098,32,sales/marketing,M
336380,25,sales/marketing,M
1382,26,scientist,M
370502,19,college/grad student,M
270741,32,academic/educator,M
156948,30,executive/managerial,M
110671,30,retired,M
277168,32,self-employed,M
98036,26,college/grad student,M
104639,27,college/grad student,M
7980,25,college/grad student,M
366941,29,college/grad student,M
420414,30,executive/managerial,M
107727,26,scientist,M
359026,18,technician/engineer,M
396303,28,college/grad student,M
231390,28,academic/educator,F
365896,30,homemaker,M
17179,30,sales/marketing,M
347571,32,executive/managerial,M
127548,30,clerical/admin,M
79514,32,executive/managerial,M
283896,27,sales/marketing,M
215643,40,scientist,M
415702,33,college/grad student,M
116074,32,college/grad student,F
340579,28,scientist,M
82700,26,executive/managerial,M
15345,30,other or not specified,M
77754,25,college/grad student,M
287291,28,homemaker,M
203751,21,college/grad student,M
376530,25,executive/managerial,M
286223,33,college/grad student,M
322436,33,sales/marketing,M
333273,31,other or not specified,M
433010,29,executive/managerial,M
234091,28,executive/managerial,M
420409,25,sales/marketing,M
137455,26,tradesman/craftsman,M
41841,31,executive/managerial,M
331769,25,sales/marketing,M
396310,25,self-employed,M
439144,21,college/grad student,M
56139,31,college/grad student,M
136244,27,executive/managerial,M
344778,33,executive/managerial,M
2091,27,other or not specified,M
318073,18,college/grad student,M
143712,31,self-employed,F
435085,34,scientist,M
357911,15,K-12 student,M
25446,28,executive/managerial,M
393426,33,scientist,M
392343,22,sales/marketing,M
212276,30,college/grad student,M
259408,29,technician/engineer,M
384979,27,scientist,M
225710,44,executive/managerial,M
235545,24,tradesman/craftsman,M
354343,31,academic/educator,M
160768,26,other or not specified,F
35567,33,executive/managerial,M
277687,29,executive/managerial,F
422780,29,academic/educator,M
400608,32,college/grad student,F
27552,25,scientist,M
221604,26,executive/managerial,M
183155,22,sales/marketing,M
230825,18,college/grad student,M
361469,29,executive/managerial,M
439608,25,college/grad student,M
25187,43,executive/managerial,M
201373,27,self-employed,M
176929,34,unemployed,M
237831,25,scientist,M
117069,34,executive/managerial,M
432153,18,sales/marketing,M
439757,51,retired,F
423916,31,self-employed,F
159426,31,technician/engineer,M
113037,44,technician/engineer,M
42993,53,executive/managerial,M
378655,30,executive/managerial,M
138997,29,scientist,M
118455,26,college/grad student,M
71372,19,K-12 student,M
89715,26,other or not specified,F
384065,28,executive/managerial,M
41208,29,other or not specified,F
446201,34,homemaker,M
283766,27,sales/marketing,M
164566,33,other or not specified,M
187416,31,academic/educator,F
13195,26,sales/marketing,M
330172,33,homemaker,M
273189,34,college/grad student,F
375912,32,homemaker,F
184434,27,college/grad student,M
274427,34,sales/marketing,M
201638,44,artist,M
334498,27,sales/marketing,M
355780,29,sales/marketing,M
197289,29,executive/managerial,M
172307,30,executive/managerial,M
269181,31,college/grad student,M
148982,27,scientist,M
60692,30,executive/managerial,M
130669,27,executive/managerial,M
57318,46,self-employed,F
347177,25,K-12 student,M
154200,21,K-12 student,M
15267,25,scientist,F
413385,34,other or not specified,F
283848,25,college/grad student,M
415798,28,executive/managerial,M
200925,28,executive/managerial,M
426272,31,other or not specified,M
115285,50,academic/educator,F
92434,32,technician/engineer,M
407288,21,K-12 student,F
423571,27,college/grad student,M
134397,27,sales/marketing,M
66936,27,college/grad student,M
99111,31,self-employed,M
169527,27,college/grad student,M
302170,41,artist,M
358500,30,self-employed,M
439740,40,retired,F
91608,32,executive/managerial,M
384081,30,self-employed,M
107534,26,other or not specified,M
296094,26,college/grad student,M
161165,33,scientist,M
167389,26,college/grad student,M
235086,26,homemaker,F
78339,29,executive/managerial,M
432823,33,college/grad student,M
181689,29,homemaker,F
146400,26,college/grad student,M
11044,25,executive/managerial,M
245137,27,executive/managerial,M
205063,29,executive/managerial,M
45288,11,K-12 student,M
309853,33,college/grad student,M
191687,27,other or not specified,M
397013,26,academic/educator,F
171845,27,college/grad student,F
357881,21,sales/marketing,F
190287,31,college/grad student,M
352387,33,college/grad student,M
307734,26,K-12 student,F
420024,41,technician/engineer,M
119610,34,sales/marketing,M
216492,33,executive/managerial,M
65012,29,academic/educator,M
29212,29,college/grad student,M
431077,33,self-employed,M
222745,27,college/grad student,M
53754,29,sales/marketing,M
248747,9,K-12 student,F
145123,27,sales/marketing,M
212003,32,self-employed,F
199779,34,self-employed,F
398377,30,scientist,M
268046,30,clerical/admin,M
365146,26,artist,M
318793,33,other or not specified,M
232902,27,sales/marketing,M
334277,43,technician/engineer,M
281043,28,self-employed,F
84347,34,tradesman/craftsman,M
386238,31,college/grad student,M
405282,31,executive/managerial,M
228478,28,homemaker,M
141356,24,sales/marketing,M
24811,18,K-12 student,M
171001,31,programmer,M
36160,29,executive/managerial,M
39175,31,executive/managerial,M
434135,25,executive/managerial,M
358937,27,college/grad student,M
409456,34,self-employed,M
47566,25,sales/marketing,M
344476,30,executive/managerial,M
88500,30,sales/marketing,M
397682,33,college/grad student,M
395060,26,executive/managerial,M
251268,33,sales/marketing,M
441968,22,homemaker,M
29492,21,sales/marketing,F
36788,42,executive/managerial,M
299631,18,technician/engineer,M
82342,26,scientist,M
223118,34,college/grad student,M
63595,31,executive/managerial,M
332016,32,academic/educator,F
395043,53,executive/managerial,M
273643,25,clerical/admin,M
381390,26,self-employed,M
29423,34,college/grad student,M
393579,31,doctor/health care,M
356961,12,sales/marketing,M
427238,31,sales/marketing,F
296378,30,artist,M
373808,24,scientist,M
363573,33,scientist,F
238309,26,academic/educator,M
132823,30,other or not specified,M
209575,30,other or not specified,F
319287,34,college/grad student,F
140603,33,executive/managerial,M
30568,34,executive/managerial,M
330299,29,tradesman/craftsman,M
228518,32,scientist,M
6087,27,executive/managerial,M
317871,34,executive/managerial,M
150916,34,sales/marketing,M
248236,82,self-employed,F
412100,27,other or not specified,F
7985,26,college/grad student,M
410391,32,executive/managerial,M
210419,31,academic/educator,F
80413,22,homemaker,M
360732,29,academic/educator,M
171452,27,homemaker,M
201534,28,other or not specified,M
197268,27,college/grad student,F
197202,28,programmer,M
447307,30,college/grad student,M
387179,28,college/grad student,M
286690,30,artist,M
51053,30,college/grad student,M
412515,33,college/grad student,M
429881,28,academic/educator,M
310205,30,scientist,M
35217,32,self-employed,M
440766,27,executive/managerial,M
151732,33,executive/managerial,M
445850,32,other or not specified,M
1183,48,executive/managerial,M
319706,31,self-employed,M
97448,28,sales/marketing,M
153674,21,sales/marketing,M
137578,34,executive/managerial,F
406920,26,academic/educator,M
7053,26,executive/managerial,M
12942,78,retired,F
214774,19,college/grad student,M
267882,34,other or not specified,M
305764,31,academic/educator,M
56943,27,self-employed,M
265648,28,other or not specified,M
380349,31,sales/marketing,M
417284,26,college/grad student,M
240769,26,college/grad student,M
300657,25,executive/managerial,M
134946,34,retired,F
9619,28,executive/managerial,F
142117,26,scientist,M
54520,29,college/grad student,F
283064,31,academic/educator,F
382941,24,sales/marketing,M
228795,22,sales/marketing,M
331706,21,programmer,M
302471,33,college/grad student,M
388441,27,college/grad student,M
243844,26,college/grad student,M
337643,28,executive/managerial,M
87789,29,self-employed,M
173383,32,college/grad student,M
391327,30,homemaker,F
298901,26,sales/marketing,M
368730,29,executive/managerial,M
126436,25,scientist,F
270638,28,artist,F
348319,27,executive/managerial,M
112898,27,college/grad student,F
44365,27,sales/marketing,M
121217,33,college/grad student,M
422001,28,homemaker,F
220346,31,college/grad student,M
230572,27,college/grad student,M
378453,43,academic/educator,F
446938,57,retired,F
277728,32,programmer,M
55955,28,sales/marketing,M
211068,33,scientist,M
331026,20,artist,M
135251,33,executive/managerial,M
341709,25,college/grad student,F
15865,41,K-12 student,F
48397,28,scientist,M
56705,34,academic/educator,F
241453,34,college/grad student,M
3384,31,sales/marketing,M
123716,9,homemaker,M
405382,32,executive/managerial,M
139979,33,college/grad student,M
69560,12,K-12 student,M
84229,28,college/grad student,M
104142,18,sales/marketing,M
289433,31,executive/managerial,M
364782,29,clerical/admin,M
4549,26,sales/marketing,M
338614,29,college/grad student,M
272294,32,executive/managerial,M
132589,22,self-employed,F
22994,33,executive/managerial,M
348898,27,college/grad student,M
300568,30,college/grad student,F
252197,29,K-12 student,M
298617,25,college/grad student,M
151667,32,college/grad student,M
401205,26,sales/marketing,M
78603,26,academic/educator,F
215132,18,homemaker,M
145561,29,college/grad student,M
11715,25,college/grad student,M
371868,33,college/grad student,F
334139,32,executive/managerial,M
58409,41,academic/educator,F
118180,27,sales/marketing,M
421614,29,scientist,M
5752,31,homemaker,M
206790,25,college/grad student,M
419809,22,artist,M
78004,32,executive/managerial,M
169561,28,college/grad student,M
58879,32,executive/managerial,M
14798,31,self-employed,M
413348,34,college/grad student,M
282709,27,college/grad student,M
32098,27,college/grad student,M
394793,32,executive/managerial,M
208610,27,scientist,M
368208,33,executive/managerial,M
291915,32,college/grad student,M
72879,21,sales/marketing,M
71786,32,college/grad student,M
28608,31,academic/educator,F
17479,25,sales/marketing,M
417779,21,college/grad student,M
126303,25,scientist,M
72026,27,executive/managerial,M
364032,25,scientist,M
119677,34,artist,M
284439,29,executive/managerial,M
414012,32,sales/marketing,M
318415,26,self-employed,M
207434,30,doctor/health care,F
418044,25,self-employed,M
238277,20,sales/marketing,M
113863,32,homemaker,M
284005,33,clerical/admin,M
245246,32,executive/managerial,M
194039,35,other or not specified,F
332583,25,executive/managerial,M
222981,28,college/grad student,M
25202,63,retired,F
141965,33,sales/marketing,M
276065,32,college/grad student,M
123851,27,other or not specified,F
148803,32,college/grad student,M
65382,29,college/grad student,F
77008,29,other or not specified,M
408742,26,academic/educator,F
89739,25,scientist,M
429635,40,executive/managerial,M
186390,18,self-employed,F
434167,28,scientist,M
261820,32,sales/marketing,M
49629,30,executive/managerial,M
295154,29,college/grad student,M
446613,27,sales/marketing,M
309529,30,executive/managerial,M
435700,25,college/grad student,M
288713,25,self-employed,M
174574,29,retired,M
273081,27,self-employed,M
435713,28,college/grad student,M
379221,33,college/grad student,F
392197,33,college/grad student,M
287232,28,sales/marketing,M
384401,27,college/grad student,M
237496,29,college/grad student,M
321609,30,college/grad student,M
26045,29,college/grad student,M
333249,34,executive/managerial,M
337601,32,scientist,M
199271,33,homemaker,F
86664,28,college/grad student,F
175515,31,college/grad student,M
202461,33,sales/marketing,M
290971,25,self-employed,M
246337,27,sales/marketing,M
155882,30,executive/managerial,M
318880,26,executive/managerial,M
208236,31,college/grad student,F
274665,27,homemaker,M
261806,25,academic/educator,M
61861,31,college/grad student,M
235212,40,sales/marketing,M
353017,27,executive/managerial,M
301814,32,college/grad student,M
213081,28,college/grad student,M
237086,27,other or not specified,M
188150,31,college/grad student,M
31048,31,academic/educator,F
227134,30,self-employed,F
109413,62,executive/managerial,F
39440,20,self-employed,M
102525,31,technician/engineer,M
160893,29,sales/marketing,F
366737,30,self-employed,M
3527,38,scientist,F
158253,43,scientist,F
215299,33,college/grad student,M
276548,34,college/grad student,M
371920,25,executive/managerial,M
133722,31,college/grad student,M
426898,30,college/grad student,F
368723,43,academic/educator,F
404155,32,scientist,M
215064,32,college/grad student,M
336819,32,college/grad student,F
297136,33,sales/marketing,M
311062,32,clerical/admin,M
200106,33,other or not specified,F
6232,31,clerical/admin,M
39598,28,college/grad student,M
428223,37,artist,F
137656,28,college/grad student,M
337945,32,executive/managerial,M
278193,28,sales/marketing,M
300478,30,self-employed,M
59066,28,K-12 student,M
376994,32,executive/managerial,M
56143,29,scientist,M
310584,26,college/grad student,F
308457,31,scientist,M
244648,25,scientist,M
14051,26,K-12 student,M
423492,26,college/grad student,F
203246,29,executive/managerial,M
76885,29,academic/educator,F
152898,31,scientist,M
388200,32,sales/marketing,M
41006,25,college/grad student,M
365063,27,executive/managerial,M
371688,30,other or not specified,F
356579,30,other or not specified,M
434962,26,college/grad student,M
183931,32,self-employed,M
48909,31,sales/marketing,M
358502,28,executive/managerial,M
298625,22,scientist,M
172531,36,executive/managerial,M
439520,32,college/grad student,M
266929,39,academic/educator,F
136483,28,technician/engineer,M
32280,28,scientist,M
255532,27,executive/managerial,M
187353,26,sales/marketing,M
270611,32,homemaker,M
443589,26,college/grad student,M
116601,26,executive/managerial,M
17174,34,scientist,M
277472,30,executive/managerial,M
242834,25,sales/marketing,M
365588,31,other or not specified,M
99194,28,self-employed,M
226859,27,self-employed,M
247743,25,college/grad student,M
193189,34,K-12 student,M
8207,31,sales/marketing,M
383345,30,scientist,M
206536,25,executive/managerial,M
169688,27,executive/managerial,M
412019,40,self-employed,M
69990,28,scientist,M
442417,31,homemaker,M
198923,27,sales/marketing,M
340901,26,college/grad student,M
361969,44,executive/managerial,M
174365,31,scientist,M
42307,32,executive/managerial,M
111418,27,college/grad student,F
60992,31,college/grad student,M
177783,27,sales/marketing,M
48246,58,writer,M
129608,26,college/grad student,F
426604,31,technician/engineer,M
231081,26,college/grad student,M
432377,30,college/grad student,M
342546,26,executive/managerial,F
222113,26,executive/managerial,M
144652,27,college/grad student,M
353176,40,college/grad student,F
7031,31,sales/marketing,M
130953,27,executive/managerial,M
216163,27,college/grad student,M
312561,31,artist,M
291112,21,K-12 student,M
426649,30,college/grad student,M
442383,32,college/grad student,F
398564,27,academic/educator,M
240546,29,self-employed,M
220819,32,sales/marketing,M
356643,25,college/grad student,M
363643,25,technician/engineer,M
35790,26,tradesman/craftsman,M
337372,27,college/grad student,M
318756,27,college/grad student,M
182860,30,executive/managerial,M
234426,33,college/grad student,M
346335,30,scientist,M
276604,30,executive/managerial,M
102905,27,college/grad student,M
79264,26,scientist,M
444946,29,scientist,M
12436,29,scientist,F
367,32,sales/marketing,M
34145,27,other or not specified,M
178722,19,sales/marketing,M
348053,27,tradesman/craftsman,M
376508,27,academic/educator,M
305103,33,college/grad student,M
13749,28,executive/managerial,F
405985,30,executive/managerial,M
66994,29,college/grad student,M
409526,31,college/grad student,M
5023,32,self-employed,M
102489,26,other or not specified,M
196933,22,K-12 student,M
398518,27,college/grad student,M
338388,26,scientist,M
10601,30,executive/managerial,M
301602,29,executive/managerial,M
393512,59,lawyer,F
64314,34,technician/engineer,M
333749,26,college/grad student,F
390522,32,artist,M
140632,28,college/grad student,M
282391,24,college/grad student,M
327452,31,homemaker,F
253186,28,college/grad student,M
207625,29,other or not specified,F
123574,32,scientist,M
419460,28,sales/marketing,M
396948,29,college/grad student,M
442770,26,homemaker,F
113809,26,college/grad student,M
292525,27,executive/managerial,M
165110,19,sales/marketing,F
437289,29,programmer,M
49068,33,sales/marketing,M
290727,19,sales/marketing,M
52322,26,executive/managerial,M
425303,27,executive/managerial,M
439902,28,other or not specified,M
287677,35,executive/managerial,M
400711,34,executive/managerial,M
5421,30,lawyer,M
20121,33,homemaker,M
140325,25,college/grad student,M
53877,19,K-12 student,M
355548,30,college/grad student,M
129820,33,other or not specified,M
189756,30,scientist,M
258789,19,college/grad student,M
332370,29,college/grad student,M
77782,32,clerical/admin,M
388902,30,sales/marketing,M
361931,30,executive/managerial,M
249567,30,college/grad student,M
314206,21,executive/managerial,M
286442,34,self-employed,M
152017,34,scientist,M
178746,29,scientist,M
57309,25,self-employed,M
20187,30,college/grad student,M
224139,26,executive/managerial,M
222890,29,K-12 student,M
93971,32,scientist,M
425864,28,executive/managerial,M
248867,29,executive/managerial,M
310371,25,academic/educator,M
70509,36,artist,F
326207,31,other or not specified,M
393905,33,college/grad student,M
62162,31,executive/managerial,M
325953,34,sales/marketing,M
223022,31,college/grad student,M
152643,32,sales/marketing,M
248362,34,scientist,M
227817,31,self-employed,M
355278,57,unemployed,F
291189,34,homemaker,M
